Item No,Level / Group,Member ID,Bar Mark,Description,Bending Shape,Bar Dia (mm),No. of Members,Bars Per Member,Total Bars,Cutting Length (m),Total Length (m),Unit Weight (kg/m),Total Weight (kg)
1,Substructure (Z = -1500 to -1100 mm),"Footings (F1-F8, 8 Pads)",FTG-M12-01,Bottom Mat Primary Main Bar,U-Shape Mat Bar (2x90° hooks),12,8,10,80,1.952,156.16,0.888,138.67
2,Substructure (Z = -1500 to -1100 mm),"Footings (F1-F8, 8 Pads)",FTG-M10-02,Bottom Mat Transverse Cross Bar,U-Shape Mat Bar (2x90° hooks),10,8,11,88,1.888,166.14,0.617,102.51
3,Substructure Pedestals (Z = -1200 to +614.4 mm),"Pedestals C1, C2, C6, C7",PED-V16-01,Corner Starter Dowels (Footing Mat to GF Inflection),L-Shape Dowel (300mm 90° Foot Bend),16,4,4,16,4.006,64.10,1.578,101.14
4,Substructure Pedestals (Z = -1200 to +614.4 mm),"Pedestals C1, C2, C6, C7",PED-V12-02,Flange/Web Starter Dowels (Footing Mat to GF Inflection),L-Shape Dowel (300mm 90° Foot Bend),12,4,2,8,4.014,32.11,0.888,28.52
5,Substructure Pedestals (Z = -1200 to +614.4 mm),"Pedestals C3, C4, C5, C8",PED-V16-03,Longitudinal Starter Dowels (6#16mm per col),L-Shape Dowel (300mm 90° Foot Bend),16,4,6,24,4.006,96.14,1.578,151.72
6,Substructure Pedestals (Z = -1200 to +614.4 mm),Pedestals C1 to C8 (8 Nos),PED-T8-04,"Confinement Ties (100mm c/c Lo, 150mm mid)",Rectangular Tie + 135° Seismic Hooks (10d),8,8,17,136,0.804,109.34,0.395,43.19
7,Ground Floor (Z = +614.4 to +3962.4 mm),"GF Columns C1, C2, C6, C7",GFC-V16-01,Corner Longitudinal Rebar (GF to FF Mid Splice),Straight Splice Bar (incl. 50d lap),16,4,4,16,3.874,61.98,1.578,97.81
8,Ground Floor (Z = +614.4 to +3962.4 mm),"GF Columns C1, C2, C6, C7",GFC-V12-02,Flange/Web Longitudinal Rebar (GF to FF Mid Splice),Straight Splice Bar (incl. 50d lap),12,4,2,8,3.674,29.39,0.888,26.10
9,Ground Floor (Z = +614.4 to +3962.4 mm),"GF Columns C3, C4, C5, C8",GFC-V16-03,"Longitudinal Rebar (6#16mm, GF to FF Mid Splice)",Straight Splice Bar (incl. 50d lap),16,4,6,24,3.874,92.98,1.578,146.72
10,Ground Floor (Z = +614.4 to +3962.4 mm),GF Columns C1 to C8 (8 Nos),GFC-T8-04,"Confinement Ties (100mm c/c Lo & Joint, 150mm mid)",Rectangular Tie + 135° Seismic Hooks (10d),8,8,27,216,0.804,173.66,0.395,68.60
